verdict,corr,overlap_pct,lag_sec,ber,offset_frames,video_id_a,video_id_b,canonical,compilation,included_sketch,url_a,url_b,title_a,title_b,duration_a,duration_b,views_a,views_b,upload_a,upload_b
contains,0.9947,100.0,0.0,0.0451,0,E0apclx3wqU,R6VbgKcNBYY,R6VbgKcNBYY,E0apclx3wqU,R6VbgKcNBYY,https://www.youtube.com/watch?v=E0apclx3wqU&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=28&t=0s,https://www.youtube.com/watch?v=R6VbgKcNBYY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=67&t=0s,Kargin Haghordum sketch 227 (Hayko Mko),Kargin Haghordum sketch 466 (Hayko Mko),877.0,268.0,1587423.0,636031.0,20121228.0,20121228.0
contains,0.9947,100.0,-0.008,0.0639,0,0iKAm_aZ7Og,3UZOwmPovQ4,0iKAm_aZ7Og,3UZOwmPovQ4,0iKAm_aZ7Og,https://www.youtube.com/watch?v=0iKAm_aZ7Og&list=PLC4FFB3F0AFB8146C&index=118&t=0s,https://www.youtube.com/watch?v=3UZOwmPovQ4&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=29&t=0s,Kargin Haghordum sketch 117 (Hayko Mko),Kargin Haghordum sketch 228 (Hayko Mko),288.0,1068.0,377630.0,3041183.0,20120628.0,20121228.0
duplicate,0.9941,100.0,0.008,0.0649,0,e348pjjIcWE,fqeoB0CKcY4,e348pjjIcWE,,,https://www.youtube.com/watch?v=e348pjjIcWE&list=PLC4FFB3F0AFB8146C&index=158&t=0s,https://www.youtube.com/watch?v=fqeoB0CKcY4&list=PLC4FFB3F0AFB8146C&index=123&t=0s,Kargin Haghordum sketch 157 (Hayko Mko),Kargin Haghordum sketch 122 (Hayko Mko),198.0,198.0,273825.0,139646.0,20121227.0,20120628.0
duplicate,0.9917,100.0,0.008,0.0653,0,A8_n7aME-yM,QVR7aa5cb5I,A8_n7aME-yM,,,https://www.youtube.com/watch?v=A8_n7aME-yM&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=56&t=0s,https://www.youtube.com/watch?v=QVR7aa5cb5I&list=PLC4FFB3F0AFB8146C&index=124&t=0s,Kargin Haghordum - Football (Hayko Mko),Kargin Haghordum sketch 123 (Hayko Mko),156.0,156.0,540640.0,175640.0,20121228.0,20120628.0
duplicate,0.9937,100.0,0.008,0.0653,0,7KKsmTxazyY,S8bCsNnNnJE,S8bCsNnNnJE,,,https://www.youtube.com/watch?v=7KKsmTxazyY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=79&t=0s,https://www.youtube.com/watch?v=S8bCsNnNnJE&list=PLC4FFB3F0AFB8146C&index=119&t=0s,Kargin Haghordum sketch 478 (Hayko Mko),Kargin Haghordum sketch 118 (Hayko Mko),186.0,186.0,83912.0,99537.0,20121228.0,20120628.0
contains,0.995,100.0,0.008,0.0664,0,E0apclx3wqU,kIc8JOhTGbE,kIc8JOhTGbE,E0apclx3wqU,kIc8JOhTGbE,https://www.youtube.com/watch?v=E0apclx3wqU&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=28&t=0s,https://www.youtube.com/watch?v=kIc8JOhTGbE&list=PLC4FFB3F0AFB8146C&index=113&t=0s,Kargin Haghordum sketch 227 (Hayko Mko),Kargin Haghordum sketch 112 (Hayko Mko),877.0,268.0,1587423.0,812713.0,20121228.0,20120628.0
duplicate,0.9951,100.0,0.008,0.0672,0,R6VbgKcNBYY,kIc8JOhTGbE,kIc8JOhTGbE,,,https://www.youtube.com/watch?v=R6VbgKcNBYY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=67&t=0s,https://www.youtube.com/watch?v=kIc8JOhTGbE&list=PLC4FFB3F0AFB8146C&index=113&t=0s,Kargin Haghordum sketch 466 (Hayko Mko),Kargin Haghordum sketch 112 (Hayko Mko),268.0,268.0,636031.0,812713.0,20121228.0,20120628.0
duplicate,0.9949,100.0,0.008,0.0676,0,YoGuj76WvJI,c2e4SgVd2AU,c2e4SgVd2AU,,,https://www.youtube.com/watch?v=YoGuj76WvJI&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=184&t=0s,https://www.youtube.com/watch?v=c2e4SgVd2AU&list=PLC4FFB3F0AFB8146C&index=127&t=0s,Kargin Haghordum sketch 583 (Hayko Mko),Kargin Haghordum sketch 126 (Hayko Mko),167.0,167.0,137050.0,157659.0,20121229.0,20120628.0
duplicate,0.9941,100.0,-0.008,0.0676,0,hvUyvsaVmQQ,oLDjVa73B4o,hvUyvsaVmQQ,,,https://www.youtube.com/watch?v=hvUyvsaVmQQ&list=PLC4FFB3F0AFB8146C&index=109&t=0s,https://www.youtube.com/watch?v=oLDjVa73B4o&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=194&t=0s,Kargin Haghordum sketch 108 (Hayko Mko),Kargin Haghordum sketch 593 (Hayko Mko),146.0,145.0,813444.0,275498.0,20120628.0,20121229.0
duplicate,0.9955,100.0,-0.008,0.0682,0,IvbvzjzEYmM,fRoXRjGUAMI,fRoXRjGUAMI,,,https://www.youtube.com/watch?v=IvbvzjzEYmM&list=PLC4FFB3F0AFB8146C&index=120&t=0s,https://www.youtube.com/watch?v=fRoXRjGUAMI&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=198&t=0s,Kargin Haghordum sketch 119 (Hayko Mko),Kargin Haghordum - Marshrutnu shoferner (Hayko Mko),292.0,292.0,247843.0,439787.0,20120628.0,20121228.0
