seq,id,video_id,title,audio_path,duration_sec,start_sec,end_sec
1,008,TLD0RhsCHrc,Kargin Haghordum sketch 295 (Hayko Mko),data\audio\008_Kargin_Haghordum_sketch_295_Hayko_Mko_TLD0RhsCHrc.webm,53.201,0.0,53.201
2,026,j5NeiB-cXX8,Kargin Haghordum sketch 333 (Hayko Mko),data\audio\026_Kargin_Haghordum_sketch_333_Hayko_Mko_j5NeiB-cXX8.webm,43.721,53.201,96.922
3,041,2h3gcv92FTw,Kargin Haghordum sketch 606 (Hayko Mko),data\audio\041_Kargin_Haghordum_sketch_606_Hayko_Mko_2h3gcv92FTw.webm,57.441,96.922,154.363
4,043,DEy6RbVrj_U,Kargin Haghordum sketch 608 (Hayko Mko),data\audio\043_Kargin_Haghordum_sketch_608_Hayko_Mko_DEy6RbVrj_U.webm,60.441,154.363,214.804
5,103,eXVMl1B1rks,Kargin Haghordum sketch 644 (Hayko Mko),data\audio\103_Kargin_Haghordum_sketch_644_Hayko_Mko_eXVMl1B1rks.webm,69.541,214.804,284.345
6,113,-tIeNlhQlDg,Kargin Haghordum sketch 696 (Hayko Mko),data\audio\113_Kargin_Haghordum_sketch_696_Hayko_Mko_-tIeNlhQlDg.webm,98.521,284.345,382.866
7,119,8GqYC2kfggk,Kargin Haghordum sketch 690 (Hayko Mko),data\audio\119_Kargin_Haghordum_sketch_690_Hayko_Mko_8GqYC2kfggk.webm,82.261,382.866,465.127
8,127,JFAzFdOamDA,Kargin Haghordum sketch 682 (Hayko Mko),data\audio\127_Kargin_Haghordum_sketch_682_Hayko_Mko_JFAzFdOamDA.webm,30.001,465.127,495.128
9,130,4TDBR2IniV8,Kargin Haghordum sketch 679 (Hayko Mko),data\audio\130_Kargin_Haghordum_sketch_679_Hayko_Mko_4TDBR2IniV8.webm,82.021,495.128,577.149
10,145,RuPhyn4rfk0,Kargin Haghordum sketch 381 (Hayko Mko),data\audio\145_Kargin_Haghordum_sketch_381_Hayko_Mko_RuPhyn4rfk0.webm,53.201,577.149,630.35
11,153,-ZoqTxj7rfQ,Kargin Haghordum sketch 527 (Hayko Mko),data\audio\153_Kargin_Haghordum_sketch_527_Hayko_Mko_-ZoqTxj7rfQ.webm,64.921,630.35,695.271
12,193,pAqud0uHruk,Kargin Haghordum sketch 383 (Hayko Mko),data\audio\193_Kargin_Haghordum_sketch_383_Hayko_Mko_pAqud0uHruk.webm,57.441,695.271,752.712
13,212,xUCWdI0_CHo,Kargin Haghordum sketch 392 (Hayko Mko),data\audio\212_Kargin_Haghordum_sketch_392_Hayko_Mko_xUCWdI0_CHo.webm,110.801,752.712,863.513
14,215,I7OQpkJuUng,Kargin Haghordum - Mards Tupoya (Hayko Mko),data\audio\215_Kargin_Haghordum_-_Mards_Tupoya_Hayko_Mko_I7OQpkJuUng.webm,64.601,863.513,928.114
15,216,50l5B5sOBns,Kargin Haghordum - Marshrutkum (Hayko Mko),data\audio\216_Kargin_Haghordum_-_Marshrutkum_Hayko_Mko_50l5B5sOBns.webm,98.021,928.114,1026.135
