seq,id,video_id,title,audio_path,duration_sec,start_sec,end_sec
1,001,5h70tn0asdo,Kargin Haghordum sketch 275 (Hayko Mko),data\audio\001_Kargin_Haghordum_sketch_275_Hayko_Mko_5h70tn0asdo.webm,200.661,0.0,200.661
2,002,RazaN_OT-tA,Kargin Haghordum - Shef (Hayko Mko),data\audio\002_Kargin_Haghordum_-_Shef_Hayko_Mko_RazaN_OT-tA.webm,154.361,200.661,355.022
3,003,mLGEOvwcAO0,Kargin Haghordum sketch 277 (Hayko Mko),data\audio\003_Kargin_Haghordum_sketch_277_Hayko_Mko_mLGEOvwcAO0.webm,191.081,355.022,546.103
4,004,-paMG4kj9gg,Kargin Haghordum sketch 278 (Hayko Mko),data\audio\004_Kargin_Haghordum_sketch_278_Hayko_Mko_-paMG4kj9gg.webm,112.641,546.103,658.744
5,005,oYbSr-GJ2Zk,Kargin Haghordum sketch 279 (Hayko Mko),data\audio\005_Kargin_Haghordum_sketch_279_Hayko_Mko_oYbSr-GJ2Zk.webm,219.861,658.744,878.605
6,006,aJv99i6NJZU,Kargin Haghordum - Stress (Hayko Mko),data\audio\006_Kargin_Haghordum_-_Stress_Hayko_Mko_aJv99i6NJZU.webm,206.421,878.605,1085.026
7,007,2nLtQ6V0QZw,Kargin Haghordum sketch 281 (Hayko Mko),data\audio\007_Kargin_Haghordum_sketch_281_Hayko_Mko_2nLtQ6V0QZw.webm,138.321,1085.026,1223.347
8,027,bEku95UkuFk,Kargin Haghordum sketch 334 (Hayko Mko),data\audio\027_Kargin_Haghordum_sketch_334_Hayko_Mko_bEku95UkuFk.webm,200.621,1223.347,1423.968
9,085,GUYB2fDpe9Q,Kargin Haghordum sketch 657 (Hayko Mko),data\audio\085_Kargin_Haghordum_sketch_657_Hayko_Mko_GUYB2fDpe9Q.webm,101.321,1423.968,1525.289
10,108,xKIAGtRttaw,Kargin Haghordum sketch 649 (Hayko Mko),data\audio\108_Kargin_Haghordum_sketch_649_Hayko_Mko_xKIAGtRttaw.webm,239.501,1525.289,1764.79
11,172,8t7hzpg0dlg,Kargin Haghordum sketch 216 (Hayko Mko),data\audio\172_Kargin_Haghordum_sketch_216_Hayko_Mko_8t7hzpg0dlg.webm,302.541,1764.79,2067.331
12,181,Z7ixgFUgruc,Kargin Haghordum sketch 361 (Hayko Mko),data\audio\181_Kargin_Haghordum_sketch_361_Hayko_Mko_Z7ixgFUgruc.webm,218.101,2067.331,2285.432
13,182,KksQ0IcHiuk,Kargin Haghordum sketch 362 (Hayko Mko),data\audio\182_Kargin_Haghordum_sketch_362_Hayko_Mko_KksQ0IcHiuk.webm,318.961,2285.432,2604.393
14,201,1e06wVK_It0,Kargin Haghordum sketch 538 (Hayko Mko),data\audio\201_Kargin_Haghordum_sketch_538_Hayko_Mko_1e06wVK_It0.webm,159.181,2604.393,2763.574
15,210,744KvMTjI8o,Kargin Haghordum sketch 390 (Hayko Mko),data\audio\210_Kargin_Haghordum_sketch_390_Hayko_Mko_744KvMTjI8o.webm,191.581,2763.574,2955.155
16,251,Ky6n5_pKveM,Kargin Haghordum - Qvid (Hayko Mko),data\audio\251_Kargin_Haghordum_-_Qvid_Hayko_Mko_Ky6n5_pKveM.webm,307.681,2955.155,3262.836
17,260,ZJK7CXG4Rn8,Kargin Haghordum sketch 567 (Hayko Mko),data\audio\260_Kargin_Haghordum_sketch_567_Hayko_Mko_ZJK7CXG4Rn8.webm,253.841,3262.836,3516.677
18,264,Egs7MLLWUHI,Kargin Haghordum sketch 572 (Hayko Mko),data\audio\264_Kargin_Haghordum_sketch_572_Hayko_Mko_Egs7MLLWUHI.webm,151.921,3516.677,3668.598
19,283,96mxdWDAUZU,Kargin Haghordum sketch 236 (Hayko Mko),data\audio\283_Kargin_Haghordum_sketch_236_Hayko_Mko_96mxdWDAUZU.webm,123.681,3668.598,3792.279
20,330,JmTVyvlDssA,Kargin Haghordum sketch 292 (Hayko Mko),data\audio\330_Kargin_Haghordum_sketch_292_Hayko_Mko_JmTVyvlDssA.webm,322.261,3792.279,4114.54
21,331,HB8G9zual8A,Kargin Haghordum sketch 293 (Hayko Mko),data\audio\331_Kargin_Haghordum_sketch_293_Hayko_Mko_HB8G9zual8A.webm,205.181,4114.54,4319.721
22,365,5LRCQjkTqP0,Kargin Haghordum sketch 492 (Hayko Mko),data\audio\365_Kargin_Haghordum_sketch_492_Hayko_Mko_5LRCQjkTqP0.webm,221.421,4319.721,4541.142
23,378,upv-Sbiitss,Kargin Haghordum sketch 140 (Hayko Mko),data\audio\378_Kargin_Haghordum_sketch_140_Hayko_Mko_upv-Sbiitss.webm,206.881,4541.142,4748.023
24,384,87QkHyAc5HA,Kargin Haghordum - Intelekt (Hayko Mko),data\audio\384_Kargin_Haghordum_-_Intelekt_Hayko_Mko_87QkHyAc5HA.webm,256.961,4748.023,5004.984
25,397,ETyz3YbZ2ls,Kargin Haghordum - Banki talanum (Hayko Mko),data\audio\397_Kargin_Haghordum_-_Banki_talanum_Hayko_Mko_ETyz3YbZ2ls.webm,171.441,5004.984,5176.425
26,398,azdBBWrI2J4,Kargin Haghordum - Romantik Garnik (Hayko Mko),data\audio\398_Kargin_Haghordum_-_Romantik_Garnik_Hayko_Mko_azdBBWrI2J4.webm,143.281,5176.425,5319.706
27,399,_cMkRK3tFQw,Kargin Haghordum - Pleterov sex (Hayko Mko),data\audio\399_Kargin_Haghordum_-_Pleterov_sex_Hayko_Mko__cMkRK3tFQw.webm,252.281,5319.706,5571.987
28,401,4gYSgEpSsYc,Kargin Haghordum - No thanks (Hayko Mko),data\audio\401_Kargin_Haghordum_-_No_thanks_Hayko_Mko_4gYSgEpSsYc.webm,191.981,5571.987,5763.968
29,402,CRcYPJ-KLs4,Kargin Haghordum - Baxtagushak (Hayko Mko),data\audio\402_Kargin_Haghordum_-_Baxtagushak_Hayko_Mko_CRcYPJ-KLs4.webm,270.081,5763.968,6034.049
30,404,xq3hpMwZF4E,Kargin Haghordum - Avaria (Hayko Mko),data\audio\404_Kargin_Haghordum_-_Avaria_Hayko_Mko_xq3hpMwZF4E.webm,143.441,6034.049,6177.49
